CTV3ID	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
XaN01	Yaq3s	428556002	2695118017	Y
XaN0L	Yaq3v			N
XaN24	Yaq5R	441562009	2817026019	Y
XaN2K	Yaq5t	763259004	3638311016	Y
XaN2x	Yaq6U	763697007	3643319019	Y
XaN3I	Yaq76			A
XaN7f	YaqDF	493471000000101	1062691000000119	Y
XaNHu	YaqKx			N
XaNHy	YaqL3	473353009	2956673019	Y
XaNHz	YaqL4	404935008	2156807012	Y
XaNO9	Yay92	1084601000000102	2717721000000114	Y
XaNbp	Yaqco			A
XaNkd	Yaqk0	763692001	3643302016	Y
XaO8T	YaqvW	762989006	3637490018	Y
XaORP	Yar2F	763256006	3638304015	Y
XaORQ	Yar2H	1087301000000103	2730501000000119	Y
XaOdJ	Yar8J	1085421000000108	2719411000000117	Y
XaOgr	YarBr	736956002	3525919019	Y
XaOk5	YarFj	932571000000102	2389561000000119	Y
XaOm1	YarHf			A
XaOuj	YarO7			A
XaOxL	Yarb2	716618008	3306884011	N
XaP70	YariZ			A
XaPBq	YaroF	763244005	3638272018	Y
XaPQ1	Yas72			A
XaPYg	YasBr	761871008	3634100012	Y
XaPvu	YasZO			A
XaQ8X	Yasjn	763117005	3637914015	Y
XaQ9n	Yaskz	1030791000000100	2599721000000119	N
XaQHW	Yasqn			N
XaQHX	Yasqp			N
XaQHq	Yasr7	443117005	2839948011	Y
XaQJ6	Yast0	1091691000000105	2734401000000110	Y
XaQJ8	Yast1	1091671000000106	2734361000000118	Y
XaQJB	YastK	1091681000000108	2734381000000110	Y
XaQJP	Yaste	756521000000105	1667311000000110	Y
XaQMy	Yasvc	1087971000000105	2725361000000116	Y
XaQT6	Yat2i	1085611000000104	2719791000000116	Y
XaQaG	YazPP	450759008	2916764016	Y
XaQi7	YatGR	862641000000109	2230661000000111	Y
XaQih	YatH0	763695004	3643315013	Y
XaQik	YatH4	763264000	3638321012	Y
XaRCO	YatgJ	711061000000109	1554191000000113	Y
XaREA	YatiG			N
XaRFy	YatkJ	446660005	2883862010	Y
XaVzG	Yatnj	1091261000000101	2733421000000115	Y
XaVzH	Yatnk	1091231000000106	2733361000000115	Y
XaW1c	Yatp8	1083531000000105	2715221000000113	Y
XaW1d	Yatp9	1083521000000108	2715201000000116	Y
XaW9Z	Yatpl	718045001	3310991013	Y
XaW9b	Yatpm	718040006	3310978012	Y
XaW9c	Yatpn	718163004	3311342015	Y
XaW9d	Yatpo	718038001	3310971018	Y
XaWRh	YayTU	446039003	1713311000000110	Y
XaWyR	YatsQ	718164005	3311345018	Y
XaWyr	Yatss	445930007	2883912018	Y
XaX0e	Yatu1	446841001	2882652014	Y
XaX0f	Yatu2	446841001	2882652014	Y
XaX24	YatvE	443404001	2838578019	Y
XaX25	YatvF			N
XaX3v	YatxF	756511000000104	1667281000000112	Y
XaX3w	YatxD	756501000000101	1667251000000118	Y
XaX6F	YawLy	447233003	2883908012	Y
XaX8r	Yau1A	758801000000102	1673171000000118	Y
XaXHF	Yau72			A
XaXUM	YauJp			A
XaXUT	YauJx			A
XaXej	YauPD	711071000000102	1554221000000118	Y
XaXek	YauPE	711081000000100	1554251000000111	Y
XaXen	YauPH	711061000000109	1554191000000113	Y
XaXeo	YauPI	711061000000109	1554191000000113	Y
XaXep	YauPJ	711061000000109	1554191000000113	Y
XaXfI	YauPf	473330008	2956651014	N
XaXfJ	YauPg	473332000	2956452010	Y
XaXfK	YauPh	473333005	2956628014	Y
XaXfL	YauPi	473331007	2956498011	Y
XaXg5	YauQP	1087331000000109	2723921000000112	Y
XaXgK	YauQg			A
XaXgL	YauQi			A
XaXgM	YauQk			A
XaXgN	YauQm			A
XaXgO	YauQo			A
XaXlG	YauUy	1087521000000103	2724341000000116	Y
XaXlH	YauUz	1083541000000101	2715241000000118	Y
